Page Number;Invoice Number;Item Name;description;Location;Quantity;Unit Price;Total Price;Preliminary Net Weight;Total Net Weight;Total Gross Weight;Colný kód;Popis colného kódu
2;2412501577;JA-152J MS II;Obousměrný dvoutlačítkový ovladač - (recyklační příspěvek 0,013858 EUR bez DPH / 1 kg);CN;15.0;23.84;357.6;0,885;0,940;1,015;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-152M;Bezdrátový skrytý magnetický detektor - (recyklační příspěvek 0,0078 EUR bez DPH / 1 kg);CZ;20.0;25.85;517.0;1,480;1,573;1,700;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-152P;Bezdrátový PIR detektor pohybu - (recyklační příspěvek 0,0091 EUR bez DPH / 1 kg);CZ;50.0;49.04;2452.0;6,400;6,793;7,336;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-153E-WH;Bezdrátový přístupový modul s klávesni - (recyklační příspěvek 0,01612 EUR bez DPH / 1 kg);CN;2.0;54.83;109.66;0,396;0,420;0,454;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-154J MS II;Obousměrný čtyřtlačítkový ovladač - (recyklační příspěvek 0,0247 EUR bez DPH / 1 kg);CN;15.0;28.07;421.05;0,915;0,970;1,048;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-155P;Bezdrátový stropní PIR detektor pohybu - (recyklační příspěvek 0,00839146666666667 EUR bez DPH / 1 kg);CZ;20.0;51.01;1020.2;3,840;4,066;4,394;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-156E;Bezdrátová dotyková klávesnice s čtečk - (recyklační příspěvek 0,0247 EUR bez DPH / 1 kg);CN;6.0;113.3;679.8;1,842;1,955;2,110;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-157P;Bezdrátový venkovní dvouzónový detekto - (recyklační příspěvek 0,0399358333333333 EUR bez DPH / 1 kg);CZ;3.0;110.57;331.71;0,888;0,943;1,018;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-182SH;Bezdrátový detektor otřesu nebo náklon - (recyklační příspěvek 0,0364 EUR bez DPH / 1 kg);CZ;10.0;22.06;220.6;0,480;0,510;0,552;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-190PL;Víceúčelová montážní krabice - (recyklační příspěvek 0,0052 EUR bez DPH / 1 kg);CN;5.0;1.73;8.65;0,320;0,340;0,368;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-192J;RFID přívěsek - (recyklační příspěvek 0,00090998 EUR bez DPH / 1 kg);CN;100.0;1.73;173.0;0,600;0,636;0,688;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-192Y;Modul GSM komunikátoru - (recyklační příspěvek 0,0062399 EUR bez DPH / 1 kg);CZ;10.0;78.85;788.5;0,440;0,466;0,505;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-194Y;Modul LTE komunikátoru - (recyklační příspěvek 0,0061384 EUR bez DPH / 1 kg);CZ;5.0;119.36;596.8;0,270;0,287;0,311;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-195J;RFID přívěsek - (recyklační příspěvek 0,00273 EUR bez DPH / 1 kg);CN;50.0;3.84;192.0;1,000;1,062;1,147;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-1X1A-C-GR;Plastový kryt venkovní sirény - šedý, če - (recyklační příspěvek 0,00273 EUR bez DPH / 1 kg);CN;6.0;17.53;105.18;4,500;4,764;5,150;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-1X1A-C-ST;Nerezový kryt venkovní sirény, červený - (recyklační příspěek 0,0455 EUR bez DPH / 1 kg);CN;3.0;36.47;109.41;3,306;3,510;3,796;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JA-1XA-C-WH;Plastový kryt venkovní sirény - bílý, čer - (recyklační příspěvek 0,0455 EUR bez DPH / 1 kg);CN;12.0;17.53;210.36;NENÁJDENÉ;NENÁJDENÉ;NENÁJDENÉ;85311030;Poplachové zariadenia na ochranu budov
2;2412501577;JI-120T;IP převodník pro RTSP kamery - (recyklační příspěvek 0,0455 EUR bez DPH / 1 kg);CZ;1.0;81.34;81.34;0,310;0,328;0,354;85311030;Poplachové zariadenia na ochranu budov
3;2412501577;LD-81;Záplavový detektor - (recyklační příspěvek 0,0117 EUR bez DPH / 1 kg);CZ;10.0;9.0;90.0;0,680;0,722;0,780;85311030;Poplachové zariadenia na ochranu budov
3;2412501577;PLV-CP-L;Náhradní plast pro ústř. JA-83, JA-106;CN;4.0;26.38;105.52;NENÁJDENÉ;NENÁJDENÉ;NENÁJDENÉ;85311030;Poplachové zariadenia na ochranu budov
3;2412501577;PLV-JA111R;Plast pro JA-111R;CN;20.0;2.78;55.6;1,280;1,358;1,469;85311030;Poplachové zariadenia na ochranu budov
3;2412501577;SA214-7;Pb akumulátor (12 V / 7 Ah);CN;8.0;15.05;120.4;19,384;20,564;22,217;85072080;Akumulátory Olovené ostatné
3;2412501577;SLEVA;Sleva zákazníkovi, účtována tržby z pro;;1.0;-15.0;-15.0;;;;NEURCENE;Kód nebol určený AI
3;2412501577;DOPRAVA;Manipulační poplatek;;1.0;120.2;120.2;;;;NEURCENE;Kód nebol určený AI
