Page Number;Invoice Number;Item Name;description;Location;Quantity;Unit Price;Total Price;Preliminary Net Weight;Total Net Weight;Total Gross Weight;Colný kód;Popis colného kódu
2;2412501491;JA-150P;Bezdrátový PIR detektor pohybu - (recyklační příspěvek 0,013858 EUR bez DPH / 1 kg);CZ;15.0;39.82;597.3;1,770;1,919;2,063;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-151ST;Bezdrátový kombinovaný detektor kouře - (recyklační příspěvek 0,0247 EUR bez DPH / 1 kg);CN;20.0;38.5;770.0;4,280;4,638;4,992;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-151ST-A-AN;Kombinovaný detektor kouře a teplot;CN;5.0;54.47;272.35;NENÁJDENÉ;NENÁJDENÉ;NENÁJDENÉ;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-153E-WH;Bezdrátový přístupový modul s klávesni - (recyklační příspěvek 0,0247 EUR bez DPH / 1 kg);CN;5.0;54.83;274.15;0,990;1,072;1,152;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-154J MS II;Obousměrný čtyřtlačítkový ovladač - (recyklační příspěvek 0,0083914 EUR bez DPH / 1 kg);CN;10.0;28.07;280.7;0,610;0,660;0,710;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-159P;Bezdrátový venkovní dvouzónový dete - (recyklační příspěvek 0,071175 EUR bez DPH / 1 kg);CZ;3.0;127.68;383.04;1,710;1,849;1,990;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-182SH;Bezdrátový detektor otřesu nebo náklon - (recyklační příspěvek 0,0052 EUR bez DPH / 1 kg);CZ;2.0;22.06;44.12;0,096;0,104;0,113;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-192E-WH;Ovládací segment přístupových modulů - (recyklační příspěvek 0,0039 EUR bez DPH / 1 kg);CN;40.0;3.86;154.4;1,040;1,126;1,211;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-192Y;Modul GSM komunikátoru - (recyklační příspěvek 0,00623992307692308 EUR bez DPH / 1 kg);CZ;13.0;78.85;1025.05;0,572;0,621;0,668;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-194Y;Modul LTE komunikátoru - (recyklační příspěvek 0,00613854545454545 EUR bez DPH / 1 kg);CZ;11.0;119.36;1312.96;0,594;0,643;0,692;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-194Y-LITE;LTE komunikátor LITE - (recyklační příspěvek 0,00685066666666667 EUR bez DPH / 1 kg);CN;3.0;91.47;274.41;0,159;0,172;0,185;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-196J;Duální přívěsek LF-HF UID - (recyklační příspěvek 0,000832 EUR bez DPH / 1 kg);CZ;20.0;3.65;73.0;0,120;0,130;0,140;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JA-1X1A-C-AN;Plastový kryt venkovní sirény - antracito;CN;6.0;17.53;105.18;4,596;4,973;5,342;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JB-110N;Sběrnicový silový modul výstupů PG - (recyklační příspěvek 0,00585 EUR bez DPH / 1 kg);CZ;10.0;17.6;176.0;0,440;0,476;0,512;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JB-118N;Sběrnicový signální modul výstupů PG - - (recyklační příspěvek 0,0053624 EUR bez DPH / 1 kg);CZ;10.0;25.02;250.2;0,380;0,412;0,443;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;JS-7920;Alternativní šedá čočka pro JA-1x2P a J;CN;5.0;1.5;7.5;0,030;0,032;0,034;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;SA-201-A;Kontakt magnetický mini povrchový s vc;CN;1300.0;2.15;2795.0;13,000;14,084;15,146;85311030;Poplachové zariadenia na ochranu budov
2;2412501491;SA214-18;Pb akumulátor (12 V / 18 Ah);TW;4.0;36.98;147.92;20,248;21,934;23,570;85072080;Akumulátory Olovené ostatné
2;2412501491;SA214-2.6;Pb akumulátor (12 V / 2,6 Ah);CN;20.0;9.18;183.6;21,600;23,396;25,169;85072080;Akumulátory Olovené ostatné
3;2412501491;SA214-7;Pb akumulátor (12 V / 7 Ah) - Pb akumulátor (12 V / 7 Ah);TW;8.0;15.05;120.4;19,384;20,963;22,546;85072080;Akumulátory Olovené ostatné
3;2412501491;SLEVA;Sleva zákazníkovi, účtována tržby z pro - Sleva zákazníkovi, účtována tržby z pro;;1.0;-27.0;-27.0;;;;NEURCENE;Kód nebol určený AI
3;2412501491;DOPRAVA;Manipulační poplatek - Manipulační poplatek;;1.0;162.5;162.5;;;;NEURCENE;Kód nebol určený AI
